Framework,Dataset,Nodes,Total Time,Feature Extraction Time,10-Fold Time,Mean Time per Fold,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score,Mean AUC-ROC
Ray,1,1,33.11,0.01,24.69,10.5883,0.6835,0.7406,0.6916,0.7072,0.75
PyTorch,1,1,,,,,,,,,
Ray,1,2,35.68,0.01,26.55,11.1138,0.6759,0.6971,0.767,0.7264,0.7373
PyTorch,1,2,,,,,,,,,
Ray,1,3,362.97,329.81,23.82,12.733,0.687,0.7314,0.7214,0.7202,0.756
PyTorch,1,3,164.39,137.25,24.71,6.1657,0.674,0.6823,0.76,0.7174,0.7386
Ray,2,1,,,,,,,,,
PyTorch,2,1,,,,,,,,,
Ray,2,2,,,,,,,,,
PyTorch,2,2,,,,,,,,,
Ray,2,3,,,,,,,,,
PyTorch,2,3,,,,,,,,,
Ray,3,1,,,,,,,,,
PyTorch,3,1,,,,,,,,,
Ray,3,2,,,,,,,,,
PyTorch,3,2,,,,,,,,,
Ray,3,3,,,,,,,,,
PyTorch,3,3,,,,,,,,,
